,experiment,response time (ms),Subject,block
76,1250 uA 200 ms,322.02752000000004,2,1
79,1250 uA 200 ms,518.5536,2,1
100,3000 uA 200 ms,628.9408,2,1
101,3000 uA 200 ms,435.44576,2,1
102,3000 uA 200 ms,295.48544,2,1
103,3000 uA 200 ms,268.69759999999997,2,1
104,3000 uA 200 ms,268.86144,2,1
105,3000 uA 200 ms,259.39968000000005,2,1
106,3000 uA 200 ms,247.48032,2,1
107,3000 uA 200 ms,257.96608,2,1
108,3000 uA 200 ms,260.25984,2,1
109,3000 uA 200 ms,251.69920000000002,2,1
110,3000 uA 200 ms,256.4096,2,1
111,3000 uA 200 ms,164.12672,2,1
112,3000 uA 200 ms,249.97887999999998,2,1
113,3000 uA 200 ms,247.43936,2,1
114,3000 uA 200 ms,171.25376,2,1
115,3000 uA 200 ms,241.13152,2,1
116,3000 uA 200 ms,241.33632,2,1
117,3000 uA 200 ms,212.992,2,1
118,3000 uA 200 ms,237.77280000000002,2,1
119,3000 uA 200 ms,225.8944,2,1
120,"2 @ 3000 uA, 38 @ 1250 uA",795.6070400000001,2,1
121,"2 @ 3000 uA, 38 @ 1250 uA",731.05408,2,1
122,"2 @ 3000 uA, 38 @ 1250 uA",534.6918400000001,2,1
123,"2 @ 3000 uA, 38 @ 1250 uA",269.76256,2,1
124,"2 @ 3000 uA, 38 @ 1250 uA",254.93504000000001,2,1
125,"2 @ 3000 uA, 38 @ 1250 uA",242.60608,2,1
126,"2 @ 3000 uA, 38 @ 1250 uA",300.31872,2,1
127,"2 @ 3000 uA, 38 @ 1250 uA",326.08256,2,1
129,"2 @ 3000 uA, 38 @ 1250 uA",242.85184,2,1
130,"2 @ 3000 uA, 38 @ 1250 uA",353.52576000000005,2,1
132,"2 @ 3000 uA, 38 @ 1250 uA",262.06208,2,1
133,"2 @ 3000 uA, 38 @ 1250 uA",260.5056,2,1
135,"2 @ 3000 uA, 38 @ 1250 uA",405.38112,2,1
136,"2 @ 3000 uA, 38 @ 1250 uA",415.90783999999996,2,1
137,"2 @ 3000 uA, 38 @ 1250 uA",237.81376,2,1
138,"2 @ 3000 uA, 38 @ 1250 uA",266.89536000000004,2,1
139,"2 @ 3000 uA, 38 @ 1250 uA",264.31487999999996,2,1
140,"2 @ 3000, 38 @ 800 uA",645.0790400000001,2,1
142,"2 @ 3000, 38 @ 800 uA",421.72416000000004,2,1
143,"2 @ 3000, 38 @ 800 uA",331.48928,2,1
149,"2 @ 3000, 38 @ 800 uA",391.08608,2,1
150,"2 @ 3000, 38 @ 800 uA",593.2236800000001,2,1
151,"2 @ 3000, 38 @ 800 uA",405.79072,2,1
158,"2 @ 3000, 38 @ 800 uA",488.03839999999997,2,1
0,"2 @ 3000 uA, 38 @ 1250 uA",435.03616,2,2
1,"2 @ 3000 uA, 38 @ 1250 uA",285.77792,2,2
2,"2 @ 3000 uA, 38 @ 1250 uA",243.42528,2,2
3,"2 @ 3000 uA, 38 @ 1250 uA",260.38272,2,2
4,"2 @ 3000 uA, 38 @ 1250 uA",219.09503999999998,2,2
5,"2 @ 3000 uA, 38 @ 1250 uA",279.75680000000006,2,2
6,"2 @ 3000 uA, 38 @ 1250 uA",411.68896,2,2
7,"2 @ 3000 uA, 38 @ 1250 uA",260.5056,2,2
8,"2 @ 3000 uA, 38 @ 1250 uA",371.3024,2,2
9,"2 @ 3000 uA, 38 @ 1250 uA",221.10208,2,2
10,"2 @ 3000 uA, 38 @ 1250 uA",230.31808,2,2
11,"2 @ 3000 uA, 38 @ 1250 uA",247.56224,2,2
12,"2 @ 3000 uA, 38 @ 1250 uA",286.06464,2,2
13,"2 @ 3000 uA, 38 @ 1250 uA",236.01152,2,2
14,"2 @ 3000 uA, 38 @ 1250 uA",308.79744,2,2
15,"2 @ 3000 uA, 38 @ 1250 uA",255.54944,2,2
16,"2 @ 3000 uA, 38 @ 1250 uA",279.552,2,2
17,2 @ 3000 uA,522.89536,2,2
18,2 @ 3000 uA,430.85824,2,2
19,2 @ 3000 uA,395.59168,2,2
20,2 @ 3000 uA,422.95295999999996,2,2
21,2 @ 3000 uA,483.57376,2,2
22,2 @ 3000 uA,376.34047999999996,2,2
23,2 @ 3000 uA,471.16288000000003,2,2
24,2 @ 3000 uA,425.5744,2,2
25,2 @ 3000 uA,404.39808,2,2
26,2 @ 3000 uA,479.10912,2,2
27,2 @ 3000 uA,410.0096,2,2
28,2 @ 3000 uA,403.41504,2,2
29,2 @ 3000 uA,441.9584,2,2
30,2 @ 3000 uA,404.02944,2,2
31,2 @ 3000 uA,388.3008,2,2
32,2 @ 3000 uA,255.54944,2,2
33,2 @ 3000 uA,279.552,2,2
